"id","name","lat","lon","trip_starts","trip_start_members","trip_start_casuals","trip_ends","trip_end_members","trip_end_casuals","total_trip_activity"
"13022","Streeter Dr & Grand Ave",41.8922712695556,-87.6120535318703,80319,15869,64450,81802,14274,67528,162121
"LF-005","Lake Shore Dr & North Blvd",41.9117153643684,-87.6268085757766,46498,17814,28684,52764,19039,33725,99262
"13300","Lake Shore Dr & Monroe St",41.8809680927298,-87.6167439476836,44796,10040,34756,43236,10780,32456,88032
"13042","Michigan Ave & Oak St",41.9009717769551,-87.6237783486424,42770,14108,28662,43510,13145,30365,86280
"TA1308000050","Wells St & Concord Ln",41.9121145246071,-87.6346923050758,41642,22761,18881,42027,23408,18619,83669
"13008","Millennium Park",41.8810517568095,-87.6240845683733,40479,8294,32185,41760,8016,33744,82239
"TA1307000039","Clark St & Elm St",41.9029390611005,-87.6313383712191,39498,23900,15598,38934,23971,14963,78432
"TA1308000001","Theater on the Lake",41.9262753608407,-87.6308553857412,35801,15181,20620,36283,13976,22307,72084
"KA1504000135","Wells St & Elm St",41.9031871818999,-87.6343685240347,36054,20245,15809,35894,20799,15095,71948
"13179","Clark St & Lincoln Ave",41.9156983892342,-87.6346117332823,32015,15725,16290,32008,15464,16544,64023
"KA1503000043","Kingsbury St & Kinzie St",41.8891901563338,-87.6385010566646,32154,22670,9484,31777,22855,8922,63931
"TA1307000117","Wabash Ave & Grand Ave",41.8914510808863,-87.6267549436396,31264,15888,15376,31913,15338,16575,63177
"13146","Clark St & Armitage Ave",41.9182999809706,-87.6362917519684,31482,16083,15399,31047,15645,15402,62529
"13045","Dearborn St & Erie St",41.89401197511,-87.6293314006513,30590,18658,11932,31134,19317,11817,61724
"TA1306000012","Wells St & Huron St",41.8947471603292,-87.6343701499848,29843,18239,11604,29157,17902,11255,59000
"13137","Broadway & Barry Ave",41.9375920867925,-87.6441003338754,29036,16955,12081,29564,17538,12026,58600
"13016","St. Clair St & Erie St",41.8943261684469,-87.6228152825622,28614,18293,10321,29712,18120,11592,58326
